key,edge,lastFoundAt,type,market_name,participants,outcome_payout,source,participant,sport,implied_probability,profit_potential,EV,event_start_time,competition_instance_name
O3cB-ykdu-rE4Z,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Udinese @ AC Milan,"['AC Milan', 'Udinese']",5.2,BET_RIVERS,,,19.283242,420.0,0.27285840000000405,2024-10-19T16:00:00.000Z,2024-25 Italian Serie A
tSWg-ykdu-0P3J,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Udinese @ AC Milan,"['AC Milan', 'Udinese']",8.0,BET_PARX,Udinese,SOCCER,12.553738,700.0,0.4299040000000076,2024-10-19T16:00:00.000Z,2024-25 Italian Serie A
YugP-ykdu-hYpT,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Udinese @ AC Milan,"['AC Milan', 'Udinese']",8.0,BET_RIVERS,Udinese,SOCCER,12.553738,700.0,0.4299040000000076,2024-10-19T16:00:00.000Z,2024-25 Italian Serie A
syaU-ykdu-i4Ud,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Bologna @ Genoa,"['Bologna', 'Genoa']",3.4,BET_PARX,,,29.476587,240.0,0.22039579999999148,2024-10-19T13:00:00.000Z,2024-25 Italian Serie A
uRM8-ykdu-G7go,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Bologna @ Genoa,"['Bologna', 'Genoa']",3.45,BET_RIVERS,,,29.476587,245.00000000000003,1.694225149999994,2024-10-19T13:00:00.000Z,2024-25 Italian Serie A
rhlr-ykdu-5DM0,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Como @ Napoli,"['Napoli', 'Como']",7.5,BET_RIVERS,Como,SOCCER,13.602559,650.0,2.0191925000000026,2024-10-04T16:30:00.000Z,2024-25 Italian Serie A
CDz3-ykdu-gU1m,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Genoa @ Atalanta,"['Atalanta', 'Genoa']",6.75,BET_RIVERS,Genoa,SOCCER,14.852272,575.0,0.25283600000000206,2024-10-05T16:00:00.000Z,2024-25 Italian Serie A
sQeT-ykdu-emPn,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Torino @ Inter Milan,"['Inter Milan', 'Torino']",10.0,BET_PARX,Torino,SOCCER,10.329014,900.0,3.290140000000008,2024-10-05T18:45:00.000Z,2024-25 Italian Serie A
jMhW-ykdu-1pHF,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Torino @ Inter Milan,"['Inter Milan', 'Torino']",10.5,BET_RIVERS,Torino,SOCCER,10.329014,950.0,8.454647000000008,2024-10-05T18:45:00.000Z,2024-25 Italian Serie A
To0T-ykdu-GHG6,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Monza @ Hellas Verona,"['Hellas Verona', 'Monza']",3.45,BET_RIVERS,,,29.087377,245.00000000000003,0.35145064999998965,2024-10-21T18:45:00.000Z,2024-25 Italian Serie A
aS0F-ykdu-MLxy,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Parma @ Bologna,"['Bologna', 'Parma']",4.7,BET_PARX,Parma,SOCCER,21.560049,370.0,1.3322303000000062,2024-10-06T13:00:00.000Z,2024-25 Italian Serie A
SlHe-ykdu-TTRs,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE,Navy @ Air Force,"['Air Force', 'Navy']",4.0,ESPN_BET,Air Force,AMERICAN_FOOTBALL,25.187781,300.0,0.7511240000000328,2024-10-05T16:00:00.000Z,2024 NCAA Division I Football
VgYW-ykdu-UMMU,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE,UMass @ Northern Illinois,"['Northern Illinois', 'UMass']",7.25,BET_MGM,UMass,AMERICAN_FOOTBALL,14.190515,625.0,2.881233750000007,2024-10-05T16:00:00.000Z,2024 NCAA Division I Football
vnbt-ykdu-3Xo0,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE,Michigan State @ Oregon,"['Oregon', 'Michigan State']",14.0,ESPN_BET,Michigan State,AMERICAN_FOOTBALL,7.678786,1300.0,7.503004000000004,2024-10-05T01:00:00.000Z,2024 NCAA Division I Football
